,politician_name,politician_username,gender,party,tweet_text,tweet_retweet_count,tweet_favorite_count,Joy,IBM_text,Analytical,Sadness,Confident,Tentative,Fear,Anger
0,Mark Udall,MarkUdall,M,D,It has been the greatest privilege of my life to serve the people of Colorado-- Thank you-- http://t--co/hpTWOidJrU,42,111,0.917048,It has been the greatest privilege of my life to serve the people of Colorado-- Thank you-- http://t--co/hpTWOidJrU.,,,,,,
1,Mark Udall,MarkUdall,M,D,Americans finally know the truth about this dark chapter in #CIA history-- #TortureReport http://t--co/eaah3H54nC,99,82,,Americans finally know the truth about this dark chapter in #CIA history-- #TortureReport http://t--co/eaah3H54nC. TUNE IN: @MarkUdall to speak about Senate Intelligence Cmte's #TortureReport &amp; his fight for #accountability: http://t--co/RPum7VAs0l --STAFF.,0.503988,,,,,
2,Mark Udall,MarkUdall,M,D,TUNE IN: @MarkUdall to speak about Senate Intelligence Cmte's #TortureReport &amp; his fight for #accountability: http://t--co/RPum7VAs0l --STAFF,35,22,,,,,,,,
3,Mark Udall,MarkUdall,M,D,Releasing torture report affirms our values as Americans &amp; that we can face our past &amp; learn from grievous errors-- http://t--co/F0534OdMUv,40,29,,Releasing torture report affirms our values as Americans &amp; that we can face our past &amp; learn from grievous errors-- http://t--co/F0534OdMUv. Heading to Senate floor now to discuss the Sen-- Intel Cmte's landmark study of #CIA's brutal &amp; ineffective torture prgm--.,,0.568586,,,,
4,Mark Udall,MarkUdall,M,D,Heading to Senate floor now to discuss the Sen-- Intel Cmte's landmark study of #CIA's brutal &amp; ineffective torture prgm--,25,24,,,,,,,,
5,Mark Udall,MarkUdall,M,D,Sen-- Intel Cmte study corrects record on #CIA's brutal torture prgm-- Proud to have led fight for #accountability &amp; gratified #truth is out--,41,38,,Sen-- Intel Cmte study corrects record on #CIA's brutal torture prgm-- Proud to have led fight for #accountability &amp; gratified #truth is out--.,,,0.560944,,,
6,Mark Udall,MarkUdall,M,D,Thank you to all who came out to show support for #BrownsCanyon Natl Monument-- I'll keep leading this fight-- http://t--co/VFqdQcQTtS,6,14,,Thank you to all who came out to show support for #BrownsCanyon Natl Monument-- I'll keep leading this fight-- http://t--co/VFqdQcQTtS.,0.793846,,0.660207,,,
7,Mark Udall,MarkUdall,M,D,On my way to #Salida for community meeting on protecting #BrownsCanyon for future generations-- Join us at 1 pm at SteamPlant Theater--,18,14,0.683726,On my way to #Salida for community meeting on protecting #BrownsCanyon for future generations-- Join us at 1 pm at SteamPlant Theater--.,,,,,,
8,Mark Udall,MarkUdall,M,D,"Join me, @Interior &amp; @forestservice at 1 pm tomorrow to discuss future of #BrownsCanyon at SteamPlant Theater in Salida-- #MonumentsMatter",3,10,0.542233,"Join me, @Interior &amp; @forestservice at 1 pm tomorrow to discuss future of #BrownsCanyon at SteamPlant Theater in Salida-- #MonumentsMatter.",,,,,,
9,Mark Udall,MarkUdall,M,D,"On 81st anniv of #prohibition's end, here are some reasons why I'm proud to support #CO's job-creating brewers-- http://t--co/ji4XocYMKh",6,10,0.844052,"On 81st anniv of #prohibition's end, here are some reasons why I'm proud to support #CO's job-creating brewers-- http://t--co/ji4XocYMKh. Proud to have championed made-in-#CO @NASA_Orion-- Watch the first test flight tomorrow at 5am MT: http://t--co/yoFMNEn3w3 #EFT1 #Orion.",,,,,,
10,Mark Udall,MarkUdall,M,D,Proud to have championed made-in-#CO @NASA_Orion-- Watch the first test flight tomorrow at 5am MT: http://t--co/yoFMNEn3w3 #EFT1 #Orion,4,5,,,,,,,,
11,Mark Udall,MarkUdall,M,D,"On 150th anniversary of #SandCreekMassacre, let's reflect on this tragic chapter of #CO &amp; the nation's history &amp; honor its victims--",24,16,,"On 150th anniversary of #SandCreekMassacre, let's reflect on this tragic chapter of #CO &amp; the nation's history &amp; honor its victims--.",0.696092,0.623201,,,,
12,Mark Udall,MarkUdall,M,D,Support #CObiz this #SmallBiz Saturday-- Get started here: http://t--co/6pxsSVA0we #ShopSmall #DineSmall,8,7,0.505471,Support #CObiz this #SmallBiz Saturday-- Get started here: http://t--co/6pxsSVA0we #ShopSmall #DineSmall.,,,,,,
13,Mark Udall,MarkUdall,M,D,Wishing all Coloradans a happy Thanksgiving-- I'm thankful for our troops -- who are keeping us safe this holiday season -- &amp; their families--,4,10,0.931066,Wishing all Coloradans a happy Thanksgiving-- I'm thankful for our troops -- who are keeping us safe this holiday season -- &amp; their families--.,0.653099,,0.579436,,,
14,Mark Udall,MarkUdall,M,D,"Enjoy your weekend, #CO -- you earned it-- After 36 months of #COjob growth, CO unemployment = lowest since March '08: http://t--co/8bHBT202cM",3,6,0.896348,"Enjoy your weekend, #CO -- you earned it-- After 36 months of #COjob growth, CO unemployment = lowest since March '08: http://t--co/8bHBT202cM. Proud @WhiteHouse heeded my call to act on deportation relief-- This move is long overdue &amp; a victory for #CO's immigrant families--.",,,,,,
15,Mark Udall,MarkUdall,M,D,Proud @WhiteHouse heeded my call to act on deportation relief-- This move is long overdue &amp; a victory for #CO's immigrant families--,23,28,,,,,,,,
16,Mark Udall,MarkUdall,M,D,"#tbt to 511 days ago, when Senate passed #bipartisan #immigration reform bill I championed-- #TimeIsNow to act-- #CIR http://t--co/PAMn0JterC",13,9,,,,,,,,
17,Mark Udall,MarkUdall,M,D,"Senate's refusal to take up #USAFreedom Act a setback for #NSA reform &amp; 4th amdmt, but we will continue the fight--",40,36,,,,,,,,
18,Mark Udall,MarkUdall,M,D,Proud to move #HermosaCreek bill fwd in Senate-- It will protect our #water &amp; boost outdoor rec in SW #CO: http://t--co/KmOfvLaBhU,11,8,0.71191,Proud to move #HermosaCreek bill fwd in Senate-- It will protect our #water &amp; boost outdoor rec in SW #CO: http://t--co/KmOfvLaBhU.,,,,,,
19,Mark Udall,MarkUdall,M,D,"On #VeteransDay, great to recognize innovative initiatives like #UberMILITARY targeting #CO vet unemployment @Uber http://t--co/aRRjQIJ0ne",6,4,0.684954,"On #VeteransDay, great to recognize innovative initiatives like #UberMILITARY targeting #CO vet unemployment @Uber http://t--co/aRRjQIJ0ne.",0.560098,,,,,
20,Mark Udall,MarkUdall,M,D,"This #VeteransDay, let's all take the time to thank our nation's heroes for their selfless service &amp; sacrifice: http://t--co/OIFr7Ls5qo",7,4,,"This #VeteransDay, let's all take the time to thank our nation's heroes for their selfless service &amp; sacrifice: http://t--co/OIFr7Ls5qo. #CIA must be held accountable-- That's why I'm fighting for #transparency &amp; to uphold our #Constitution: http://t--co/6Msmf5YaQz.",,,0.567034,,,
