,politician_name,politician_username,gender,party,tweet_text,tweet_retweet_count,tweet_favorite_count,Joy,IBM_text,Analytical,Sadness,Confident,Fear,Anger,Tentative
0,Sen. Lisa Murkowski,lisamurkowski,W,D,As Chairman of the Energy and Natural Resources Committee I had the opportunity to lead a Congressional Delegation------ https://t--co/K6QBGzwXeS,8,16,0.51664,As Chairman of the Energy and Natural Resources Committee I had the opportunity to lead a Congressional Delegation------ https://t--co/K6QBGzwXeS.,0.515576,,,,,
1,Sen. Lisa Murkowski,lisamurkowski,W,D,"In Girdwood I had a chance to tour the Four Valleys Community School, which includes students from Pre-K through th------ https://t--co/niS5u9uLc3",5,8,,,,,,,,
2,Sen. Lisa Murkowski,lisamurkowski,W,D,"With over 80% of our communities not accessible by road, one challenge Alaskans face is access to care-- Recently I------ https://t--co/6N0qGWVkjJ",10,21,,"With over 80% of our communities not accessible by road, one challenge Alaskans face is access to care-- Recently I------ https://t--co/6N0qGWVkjJ.",,0.653316,,,,
3,Sen. Lisa Murkowski,lisamurkowski,W,D,Wonderful to join Alaskans in downtown Anchorage for a Gold Medal Celebration with Alaska Olympians-- We are so prou------ https://t--co/2sJV7xV4mV,6,36,0.857802,Wonderful to join Alaskans in downtown Anchorage for a Gold Medal Celebration with Alaska Olympians-- We are so prou------ https://t--co/2sJV7xV4mV.,,,,,,
4,Sen. Lisa Murkowski,lisamurkowski,W,D,Today marks the 50th anniversary of Martin Luther King Jr's tragic death-- We must all have the courage to continue------ https://t--co/3s9TU0EVmg,11,53,,Today marks the 50th anniversary of Martin Luther King Jr's tragic death-- We must all have the courage to continue------ https://t--co/3s9TU0EVmg.,,0.796949,0.767592,,,
5,Sen. Lisa Murkowski,lisamurkowski,W,D,"While in Nulato, I was able to be a part of a community meeting to talk to folks about the unique challenges they f------ https://t--co/t063QbpfMO",11,31,0.570203,"While in Nulato, I was able to be a part of a community meeting to talk to folks about the unique challenges they f------ https://t--co/t063QbpfMO.",,,,,,
6,Sen. Lisa Murkowski,lisamurkowski,W,D,"I'm encouraged by this opportunity to address high energy costs, boost economic development, and ensure Alaskans st------ https://t--co/9sfJw90sue",6,8,,,,,,,,
7,Sen. Lisa Murkowski,lisamurkowski,W,D,"In Galena, I had a chance to tour the Galena biomass project that is owned by the City of Galena-- Through state fun------ https://t--co/xagpzG7bLv",8,15,0.829176,"In Galena, I had a chance to tour the Galena biomass project that is owned by the City of Galena-- Through state fun------ https://t--co/xagpzG7bLv.",,,,,,
8,Sen. Lisa Murkowski,lisamurkowski,W,D,Many of our communities in Alaska regularly see winter temperatures of -30 to -40 and face the extreme challenge of------ https://t--co/JMgOnMcPYF,4,11,,,,,,,,
9,Sen. Lisa Murkowski,lisamurkowski,W,D,"While in Nulato, I had a chance to visit with the teachers &amp; students of the Andrew K-- Demoski School-- I appreciate------ https://t--co/658YFgubkF",9,16,0.552151,"While in Nulato, I had a chance to visit with the teachers &amp; students of the Andrew K-- Demoski School-- I appreciate------ https://t--co/658YFgubkF.",,,,,,
10,Sen. Lisa Murkowski,lisamurkowski,W,D,"Going on KIYU radio, momentarily-- Listen to the interview live here: http://64--150--176--42:8008/live",5,5,0.717411,"Going on KIYU radio, momentarily-- Listen to the interview live here: http://64--150--176--42:8008/live.",,,,,,
11,Sen. Lisa Murkowski,lisamurkowski,W,D,"The recently passed funding includes $1B for State Opioid Response Grants for education, treatment, behavioral heal------ https://t--co/Q8I8kNcdCV",9,15,,"The recently passed funding includes $1B for State Opioid Response Grants for education, treatment, behavioral heal------ https://t--co/Q8I8kNcdCV.",0.664451,0.527827,,,,
12,Sen. Lisa Murkowski,lisamurkowski,W,D,"My D--C-- office recently welcomed one new staff member and four new fellows-- I am confident that their knowledge, un------ https://t--co/eVmWBxnZbQ",6,25,0.654648,"My D--C-- office recently welcomed one new staff member and four new fellows-- I am confident that their knowledge, un------ https://t--co/eVmWBxnZbQ.",,,0.618451,,,
13,Sen. Lisa Murkowski,lisamurkowski,W,D,"Recently, the Kenai Peninsula Food Bank celebrated the retirement of 15-year Executive Director, Linda Swarner, as------ https://t--co/mz7FfQXbmo",16,38,0.566167,"Recently, the Kenai Peninsula Food Bank celebrated the retirement of 15-year Executive Director, Linda Swarner, as------ https://t--co/mz7FfQXbmo.",,,,,,
14,Sen. Lisa Murkowski,lisamurkowski,W,D,"Alongside my colleague Senator Tom Udall, I introduced a resolution recognizing the heritage, culture, and contribu------ https://t--co/qxUHObjFZw",23,103,,"Alongside my colleague Senator Tom Udall, I introduced a resolution recognizing the heritage, culture, and contribu------ https://t--co/qxUHObjFZw.",0.506763,,,,,
15,Sen. Lisa Murkowski,lisamurkowski,W,D,"To help Alaskans navigate the extensive contents of the recently passed Consolidated Appropriations Act, my website------ https://t--co/QDFRRiNrZH",7,12,,,,,,,,
16,Sen. Lisa Murkowski,lisamurkowski,W,D,The Military Healing Arts Program is a partnership between the National Endowment for the Arts and the Department o------ https://t--co/yP1mvv74x8,9,29,0.68539,The Military Healing Arts Program is a partnership between the National Endowment for the Arts and the Department o------ https://t--co/yP1mvv74x8.,,,,,,
17,Sen. Lisa Murkowski,lisamurkowski,W,D,"For states like Alaska that have legalized marijuana, it's important for law-abiding businesses to have access to s------ https://t--co/fTa7JDzECY",28,121,,,,,,,,
18,Sen. Lisa Murkowski,lisamurkowski,W,D,"Recently joined colleagues in a letter to the U--S-- Senate Banking Committee, urging them to hold a hearing on the S------ https://t--co/jD5RO1WjPj",26,111,,,,,,,,
19,Sen. Lisa Murkowski,lisamurkowski,W,D,"--@SenFeinstein &amp; I led a bipartisan group of our colleagues in introducing a resolution designating March as ""Natio------ https://t--co/2uHsrD0r3f",16,64,,,,,,,,
20,Sen. Lisa Murkowski,lisamurkowski,W,D,Anchorage celebrated the opening of its first mall telemedicine service in Alaska-- The Capstone Express telemedicin------ https://t--co/WAHuBvCQxA,11,60,0.589545,Anchorage celebrated the opening of its first mall telemedicine service in Alaska-- The Capstone Express telemedicin------ https://t--co/WAHuBvCQxA.,0.506763,,,,,
21,Sen. Lisa Murkowski,lisamurkowski,W,D,"Communities across Alaska gathered together, recently, to take part in the ""Choose Respect March--"" This event is a------ https://t--co/E6xneFDEX4",24,69,0.529409,"Communities across Alaska gathered together, recently, to take part in the ""Choose Respect March--"" This event is a------ https://t--co/E6xneFDEX4.",0.747994,,,,,
