"candidate","year","state","office","district","stage","special","party","writein","first_name","last_name","candidatevotes","totalvotes"
"??Jim?? Stark",2012,"Louisiana","US House","3","gen",FALSE,"",FALSE,"??Jim??","Stark",3765,311393
"??Ron?? Ceasar",2012,"Louisiana","US House","5","gen",FALSE,"",FALSE,"??Ron??","Ceasar",37486,260216
"??Ron?? Richard",2012,"Louisiana","US House","3","gen",FALSE,"",FALSE,"??Ron??","Richard",67070,311393
"""Bill"" Jacobs",2002,"Louisiana","US House","4","gen",FALSE,"other",FALSE,"""Bill""","Jacobs",3104,160093
"""Bill"" Zeliff",1990,"New Hampshire","US House","1","gen",FALSE,"republican",FALSE,"""Bill""","Zeliff",81684,148368
"""Bobby"" Jindal",2004,"Louisiana","US House","1","gen",FALSE,"republican",FALSE,"""Bobby""","Jindal",225708,287897
"""Buddy"" Roemer",1984,"Louisiana","US House","4","gen",FALSE,"democrat",FALSE,"""Buddy""","Roemer",1,1
"""Charlie"" Melancon",2004,"Louisiana","US House","3","gen",FALSE,"democrat",FALSE,"""Charlie""","Melancon",57611,114653
"""Charlie"" Melancon",2010,"Louisiana","US Senate","Statewide","gen",FALSE,"democrat",FALSE,"""Charlie""","Melancon",476572,1264994
"""Dick"" Swett",1990,"New Hampshire","US House","2","gen",FALSE,"democrat",FALSE,"""Dick""","Swett",74866,142263
"""Ed"" Tarpley",2014,"Louisiana","US House","5","gen",FALSE,"republican",FALSE,"""Ed""","Tarpley",4594,326073
"""Greg"" Ellison",2016,"Louisiana","US House","3","gen",FALSE,"republican",FALSE,"""Greg""","Ellison",24882,282443
"""Gus"" Rantz",2016,"Louisiana","US House","3","gen",FALSE,"republican",FALSE,"""Gus""","Rantz",25662,282443
"""Jack"" Radosta",2010,"Louisiana","US House","2","gen",FALSE,"other",FALSE,"""Jack""","Radosta",645,129604
"""Jamie"" Mayo",2014,"Louisiana","US House","5","gen",FALSE,"democrat",FALSE,"""Jamie""","Mayo",75006,326073
"""Jay"" Patel",2008,"Louisiana","US Senate","statewide","gen",FALSE,"no party affiliation",FALSE,"""Jay""","Patel",13729,1896574
"""Jeff"" Landry",2010,"Louisiana","US House","3","gen",FALSE,"republican",FALSE,"""Jeff""","Landry",108963,170877
"""Jerry"" Huckaby",1982,"Louisiana","US House","5","gen",FALSE,"democrat",FALSE,"""Jerry""","Huckaby",1,1
"""Jerry"" Huckaby",1984,"Louisiana","US House","5","gen",FALSE,"democrat",FALSE,"""Jerry""","Huckaby",1,1
"""Jerry"" Watts",2004,"Louisiana","US House","1","gen",FALSE,"democrat",FALSE,"""Jerry""","Watts",10034,287897
"""Jim"" Donelon",1998,"Louisiana","US Senate","Statewide","gen",FALSE,"republican",FALSE,"""Jim""","Donelon",306616,969165
"""Jim"" Harlan",2008,"Louisiana","US House","1","gen",FALSE,"democrat",FALSE,"""Jim""","Harlan",98839,288007
"""Joseph"" Cao",2016,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Joseph""","Cao",21019,1997218
"""Ken"" Blevens",2006,"New Hampshire","US House","2","gen",FALSE,"libertarian",FALSE,"""Ken""","Blevens",3305,206292
"""Ken"" Blevens",2008,"New Hampshire","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"""Ken""","Blevens",21516,694787
"""Mike"" Johnson",2016,"Louisiana","US House","4","gen",FALSE,"republican",FALSE,"""Mike""","Johnson",87370,268761
"""Mike"" Rogers",2004,"Louisiana","US House","1","gen",FALSE,"republican",FALSE,"""Mike""","Rogers",7975,287897
"""Rick"" John",2016,"Louisiana","US House","4","gen",FALSE,"republican",FALSE,"""Rick""","John",13220,268761
"""Rick"" Moscatello",2002,"Louisiana","US House","6","gen",FALSE,"other",FALSE,"""Rick""","Moscatello",27898,174830
"""Rob"" Maness",2014,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Rob""","Maness",202556,3523183
"""Rob"" Maness",2016,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Rob""","Maness",90856,1997218
"""Silky"" Sullivan",2002,"Louisiana","US House","2","gen",FALSE,"republican",FALSE,"""Silky""","Sullivan",15440,142156
"""Tom"" Gibbs, Jr.",2010,"Louisiana","US House","5","gen",FALSE,"no party",FALSE,"""Tom""","Jr.",33279,155312
"""Tony"" Perkins",2002,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Tony""","Perkins",119776,2481629
"""Trey"" Thomas",2014,"Louisiana","US House","6","gen",FALSE,"republican",FALSE,"""Trey""","Thomas",1447,332888
"""Zach"" Dasher",2014,"Louisiana","US House","5","gen",FALSE,"republican",FALSE,"""Zach""","Dasher",53628,326073
"A. D. (Andy) Allissandratos",1976,"Tennessee","US House","8","gen",FALSE,"republican",FALSE,"A.","Allissandratos",63819,165954
"A. G. Baddley",2010,"Mississippi","US House","1","gen",FALSE,"independent",FALSE,"A.","Baddley",1882,219093
"A. Peter Crane",1992,"Utah","US House","2","gen",FALSE,"independent",FALSE,"A.","Crane",6274,252969
"A. Stephen Dirks",1982,"Utah","US House","1","gen",FALSE,"democrat",FALSE,"A.","Dirks",66006,177422
"A. John Elliot",1994,"Rhode Island","US House","2","gen",FALSE,"republican",FALSE,"A.","Elliot",56348,176007
"A. 'Cecy' R. Groom",1998,"California","US House","39","gen",FALSE,"democrat",FALSE,"A.","Groom",52815,155465
"A. George Sweet III",1994,"Virginia","US House","4","gen",FALSE,"republican",FALSE,"A.","III",71678,186755
"A. A. Rayner, Jr.",1976,"Illinois","US House","1","gen",FALSE,"republican",FALSE,"A.","Jr.",10147,137193
"A. J. ""Joe"" Canada Jr.",1986,"Virginia","US House","2","gen",FALSE,"republican",FALSE,"A.","Jr.",46137,110169
"A. J. Killinsworth",1978,"Alabama","US Senate","statewide","gen",TRUE,"prohibition",FALSE,"A.","Killinsworth",5814,729842
"A. Charles Laws",1996,"Massachusetts","US House","10","gen",FALSE,"green",FALSE,"A.","Laws",10913,295923
"A. Charles Laws",2000,"Nevada","US House","2","gen",FALSE,"green",FALSE,"A.","Laws",5547,357418
"A. Donald McEachin",2016,"Virginia","US House","4","gen",FALSE,"democrat",FALSE,"A.","McEachin",200136,346656
"A. T. ""Art"" Narro",1992,"Virginia","US House","11","gen",FALSE,"independent",FALSE,"A.","Narro",6681,228272
"A. Petrakopoulos",2002,"Georgia","US House","8","gen",FALSE,"democrat",FALSE,"A.","Petrakopoulos",39422,181927
"A. E. ??Tracy?? Potts",2012,"Texas","US House","20","gen",FALSE,"libertarian",FALSE,"A.","Potts",3143,186177
"A. A. Rayner",1978,"Illinois","US House","1","gen",FALSE,"republican",FALSE,"A.","Rayner",33540,81279
"A. P. (Sandy) Sands",1994,"North Carolina","US House","5","gen",FALSE,"democrat",FALSE,"A.","Sands",63194,147935
"A. J. Sekhon",2006,"California","US House","2","gen",FALSE,"democrat",FALSE,"A.","Sekhon",68234,210202
"A. D. (Al) Shipley",1984,"Hawaii","US House","2","gen",FALSE,"republican",FALSE,"A.","Shipley",20000,136741
"A. J. ""Tony"" Zevgolis",1992,"Virginia","US House","4","gen",FALSE,"republican",FALSE,"A.","Zevgolis",68286,215960
"A.J. Killingsworth",1980,"Alabama","US House","4","gen",FALSE,"statesman",FALSE,"A.J.","Killingsworth",2721,132086
"Aage Nost",2000,"Arizona","US House","5","gen",FALSE,"libertarian",FALSE,"Aage","Nost",4049,287609
"Aaron I. Cohn",2010,"Texas","US House","15","gen",FALSE,"libertarian",FALSE,"Aaron","Cohn",2570,96080
"Aaron C. Davis",1990,"Tennessee","US House","9","gen",FALSE,"republican",FALSE,"Aaron","Davis",25730,83657
"Aaron Day",2016,"New Hampshire","US Senate","statewide","gen",FALSE,"independent",FALSE,"Aaron","Day",17742,739140
