"cspan_id","first_name","middle_name","last_name","suffix","twitter_account","title","in_office","leadership_role","is_senator","is_representative","state","stateAbb","district","next_election","date_of_birth","age","seniority","gender","party","state_rank","votes_with_party_pct","missed_votes","missed_votes_pct","dw_nominate"
76236,"Ralph","","Abraham","","RepAbraham","Representative",TRUE,"",FALSE,TRUE,"Louisiana","LA","5",2018,"1954-09-16 00:00:00",64,4,"M","R","",97.11,8,0.82,0.497
76386,"Alma","","Adams","","RepAdams","Representative",TRUE,"",FALSE,TRUE,"North Carolina","NC","12",2018,"1946-05-27 00:00:00",72,6,"F","D","",95.68,26,2.66,-0.465
45516,"Robert","B.","Aderholt","","Robert_Aderholt","Representative",TRUE,"",FALSE,TRUE,"Alabama","AL","4",2018,"1965-07-22 00:00:00",53,22,"M","R","",96.62,30,3.07,0.36
79994,"Pete","","Aguilar","","reppeteaguilar","Representative",TRUE,"",FALSE,TRUE,"California","CA","31",2018,"1979-06-19 00:00:00",39,4,"M","D","",92.13,10,1.02,-0.284
62545,"Rick","","Allen","","reprickallen","Representative",TRUE,"",FALSE,TRUE,"Georgia","GA","12",2018,"1951-11-07 00:00:00",67,4,"M","R","",97.83,8,0.82,0.626
1033767,"Justin","","Amash","","","Representative",TRUE,"",FALSE,TRUE,"Michigan","MI","3",2018,"1980-04-18 00:00:00",38,8,"M","R","",69.95,1,0.1,0.658
62817,"Mark","","Amodei","","MarkAmodeiNV2","Representative",TRUE,"",FALSE,TRUE,"Nevada","NV","2",2018,"1958-06-12 00:00:00",60,8,"M","R","",95.36,28,2.87,0.378
1016482,"Jodey","","Arrington","","RepArrington","Representative",TRUE,"",FALSE,TRUE,"Texas","TX","19",2018,"1972-03-09 00:00:00",47,2,"M","R","",98.45,10,1.02,0.555
44883,"Brian","","Babin","","RepBrianBabin","Representative",TRUE,"",FALSE,TRUE,"Texas","TX","36",2018,"1948-03-23 00:00:00",71,4,"M","R","",95.2,17,1.74,0.717
103442,"Don","","Bacon","","RepDonBacon","Representative",TRUE,"",FALSE,TRUE,"Nebraska","NE","2",2018,"1963-08-16 00:00:00",55,2,"M","R","",96,1,0.1,0.442
89806,"Jim","","Banks","","RepJimBanks","Representative",TRUE,"",FALSE,TRUE,"Indiana","IN","3",2018,"1979-07-16 00:00:00",39,2,"M","R","",96.92,2,0.2,0.668
29618,"Lou","","Barletta","","RepLouBarletta","Representative",TRUE,"",FALSE,TRUE,"Pennsylvania","PA","11",2018,"1956-01-28 00:00:00",63,8,"M","R","",94.81,70,7.17,0.275
61848,"Andy","","Barr","","RepAndyBarr","Representative",TRUE,"",FALSE,TRUE,"Kentucky","KY","6",2018,"1973-07-24 00:00:00",45,6,"M","R","",96.23,20,2.05,0.486
104730,"Nanette","","Barragán","","RepBarragan","Representative",TRUE,"",FALSE,TRUE,"California","CA","44",2018,"1976-09-15 00:00:00",42,2,"F","D","",94.08,30,3.07,-0.537
